ID Produk,Nama Produk,Harga,Penjualan,Nama Toko,Komisi hingga,Komisi,Link Produk,Link Komisi Ekstra
23128677296,ELVICTO ESCOBAR EXTRAIT DE PARFUM 35ML | Parfum Pria Tahan Lama 12 jam,Rp127.000,16RB,ELVICTO Official Store,10%,Rp12.700,https://shopee.co.id/product/168074809/23128677296,https://s.shopee.co.id/1Vj7kez7Jp
23442753715,Apple iPhone 13 128GB 256GB 512GB Second BEKAS ORIGINAL 100% MULUS 13 NORMAL FULLSET,Rp5.780.000,"2,8RB",ZYPHONE,5.5%,Rp317.900,https://shopee.co.id/product/295818274/23442753715,https://s.shopee.co.id/1g2XwxyTys
26617444732,[ Paket Terbaik Putih Wajah ]Glad2Glow Renew bundle 7in1 7pcs-Brightening toner+Brightening Moisturizer+Cleanser+Brightening Serum+Peeling solution+Retinol Pomegranate Niacinamide Mencerahkan Wajah Mencerahkan Melembabkan Kulit skin skincare G2G,Rp118.500,"43,5RB",Glad2Glow Official Store,12%,Rp14.220,https://shopee.co.id/product/809769142/26617444732,https://s.shopee.co.id/1qLy9Gxqdv
24207089843,3 Pcs Celana Pendek Boadshort Shortpants Pantai Santai Nyaman,Rp99.900,7RB,Arrkan store,12%,Rp11.988,https://shopee.co.id/product/133231593/24207089843,https://s.shopee.co.id/20fOLZxDIy
9111461479,Baterai INR Li Ion 7.4 Volt 2000 mAh High Drain RC Mini Battery,Rp119.900,866,Mobilio RC Station,6.5%,Rp7.794,https://shopee.co.id/product/376812465/9111461479,https://s.shopee.co.id/2AyoXswZy1
22351073721,iPhone 13 Second & iPhone 13Mini Second ORIGINAL 100% MULUS FULLSET,Rp5.400.000,"1,7RB",Al-Ikhlas Mall,2.5%,Rp135.000,https://shopee.co.id/product/1008535428/22351073721,https://s.shopee.co.id/2LIEkBvwd4
24722302435,"BROMEN - Facial Wash (Sabun Cuci Muka Untuk Kulit Kusam, Berjerawat dan Kulit Kering)",Rp49.000,24RB,Bromen Official Shop,12%,Rp5.880,https://shopee.co.id/product/6490430/24722302435,https://s.shopee.co.id/2VbewUvJI7
7616589403,LENYES S108 40w waterproof ipx7 outdoor wireless bluetooth hifi stereo portable speaker heavy bass,Rp736.900,"1,9RB",LENYES Indonesia Official Shop,6.5%,Rp47.899,https://shopee.co.id/product/219000987/7616589403,https://s.shopee.co.id/uJxu4pMe
24927577770,TERLARIS NO 1 HEYMINE PARFUM AROMA VANILLA - VANILLA CARAMEL - CHOCOLATE VANILLA - PARFUM PRIA WANITA TERATAS WANGI TAHAN LAMA - EDP 35ML SPRAY,Rp9.000,"24,3RB",Juraganparfume6,8%,Rp720,https://shopee.co.id/product/129631511/24927577770,https://s.shopee.co.id/BDkAD4C1h
23968339548,Apple iphone 11 256GB/128GB/64GB MULUS NORMAL FULLSET Kondisi Perfect Original 100% No Recond No Refurbish,Rp3.059.000,"1,8RB",Gongxi_store,2.5%,Rp76.475,https://shopee.co.id/product/1000260045/23968339548,https://s.shopee.co.id/LXAMW3Ygk
13099492464,Double Zip Hoodie Boxy oversize Fillingstreet - Pst Black,Rp319.999,306,FSCSTAR (official),7%,Rp22.400,https://shopee.co.id/product/95175934/13099492464,https://s.shopee.co.id/VqaYp2vLn
23450695144,Weyon tv Animex TV LED 21/24/27 inch HD Digital tv Televisi Murah,Rp725.000,"6,6RB",Jawa Electrik,3.5%,Rp25.375,https://shopee.co.id/product/26098630/23450695144,https://s.shopee.co.id/gA0l82I0q
22482177628,LENYES SPEAKER BLUETOOTH TRANSPARAN RGB TWS V5.3 12WATT HIFI STEREO S220,Rp181.900,"14,8RB",Kualitas Official Store,10.5%,Rp19.100,https://shopee.co.id/product/924291156/22482177628,https://s.shopee.co.id/qTQxR1eft
24208586585,POCO X6 Pro 5G (12/512GB) | Dimensity 8300-Ultra | 120Hz FIow AMOLED | 67W Turbo Charge [ Official Store ],Rp4.399.000,"26,6RB",Xiaomi Official Store,0.5%,Rp21.995,https://shopee.co.id/product/51925611/24208586585,https://s.shopee.co.id/10mr9k11Kw
23980424228,Owners Boxy Work Jacket - Liberate - Jaket Hitam Terlaris,Rp419.000,"5,7RB",OWNRS Official Shop,12%,Rp50.280,https://shopee.co.id/product/84499703/23980424228,https://s.shopee.co.id/1B6HM30Nzz
9515355398,VELG ROSSI PALANG 8 MX & JUPITER Z & KARISMA & MX NEW DD revoabs blade grand,Rp380.000,"1,4RB",Verlomotor,2%,Rp7.600,https://shopee.co.id/product/382915724/9515355398,https://s.shopee.co.id/40QSjFpbFY
25426797955,GOOJODOQ Mini kipas Strong Wind 100 Gear Wind Speed kipas angin Digital Display Adjustable Turbo kipas tangan untuk olahraga luar ruangan dan pendinginan cepat,Rp139.000,"19,3RB",GOOJODOQ ID MALL,5.5%,Rp7.645,https://shopee.co.id/product/405207765/25426797955,https://s.shopee.co.id/4AjsvYoxub
